cell	condition	cluster	donor
TAG04	5	1	2
TAG06	5	1	2
TAG07	5	1	2
TAG09	5	1	2
TAG10	5	1	2
TAG23	5	1	2
TAG2005	5	1	2
TAG26	5	1	2
TAG27	5	1	2
TAG28	5	1	2
TAG29	5	1	2
TAG30	5	1	2
TAG31	5	1	2
TAG32	5	1	2
TAG33	5	1	2
TAG34	5	1	2
TAG3005	5	1	2
TAG36	5	1	2
TAG37	5	1	2
TAG38	5	1	2
TAG39	5	1	2
TAG40	5	1	2
TAG42	5	1	2
TAG43	5	1	2
TAG44	5	1	2
TAG4005	5	1	2
TAG46	5	1	2
TAG47	5	1	2
TAG49	5	1	2
TAG0050	5	1	2
TAG005005	5	1	2
TAG0057	5	1	2
TAG0058	5	1	2
TAG0059	5	1	2
TAG61	5	1	2
TAG62	5	1	2
TAG63	5	1	2
TAG67	5	1	2
TAG76	5	1	2
TAG77	5	1	2
TAG78	5	1	2
TAG79	5	1	2
TAG80	5	1	2
TAG81	5	1	2
TAG82	5	1	2
TAG84	5	1	2
TAG8005	5	1	2
TAG94	5	1	2
TAG01	24	4	2
TAG02	24	2	2
TAG03	24	2	2
TAG04	24	2	2
TAG0005	24	2	2
TAG06	24	2	2
TAG07	24	4	2
TAG08	24	2	2
TAG09	24	2	2
TAG13	24	4	2
TAG14	24	2	2
TAG1005	24	2	2
TAG16	24	2	2
TAG17	24	2	2
TAG18	24	4	2
TAG19	24	2	2
TAG20	24	2	2
TAG21	24	2	2
TAG22	24	2	2
TAG23	24	2	2
TAG24	24	4	2
TAG2005	24	2	2
TAG26	24	2	2
TAG27	24	2	2
TAG28	24	2	2
TAG29	24	2	2
TAG30	24	2	2
TAG31	24	4	2
TAG32	24	2	2
TAG33	24	2	2
TAG34	24	2	2
TAG3005	24	4	2
TAG36	24	2	2
TAG37	24	2	2
TAG38	24	2	2
TAG39	24	2	2
TAG40	24	2	2
TAG41	24	2	2
TAG42	24	2	2
TAG43	24	2	2
TAG44	24	2	2
TAG4005	24	2	2
TAG46	24	4	2
TAG49	24	2	2
TAG0050	24	2	2
TAG0051	24	2	2
TAG0053	24	2	2
TAG0054	24	2	2
TAG005005	24	2	2
